"mps_weight","mps_agency","mps_supervisor_dummy","is_female","is_minority","age_39_less","has_masters_plus","c_fair_org_pay","i_average","d_resign_gov","d_pjs_avg","d_pgo_avg","d_as_average"
4.7927293547,"AF",0,1,0,1,0,5,4,NA,4.66666666666667,4.33333333333333,4.33333333333333
4.7927293547,"AF",0,0,0,1,0,5,NA,1,5,NA,3.66666666666667
4.7927293547,"AF",0,1,1,1,1,4,1.66666666666667,5,2.33333333333333,1,1
4.7927293547,"AF",0,0,0,1,1,3,5,2,5,5,4.33333333333333
4.7927293547,"AF",0,0,1,1,0,4,4.33333333333333,1,4,5,3.66666666666667
4.7927293547,"AF",0,0,0,1,1,4,4.66666666666667,1,4,3,3.33333333333333
4.7927293547,"AF",0,0,0,1,0,1,1.33333333333333,1,3.66666666666667,5,1.33333333333333
4.7927293547,"AF",0,0,0,1,0,5,2.66666666666667,1,3.66666666666667,1,3.66666666666667
4.7927293547,"AF",0,1,1,1,0,4,4.33333333333333,1,4,5,4
4.7927293547,"AF",0,0,0,1,0,1,3.33333333333333,1,4,NA,3.33333333333333
4.7927293547,"AF",0,1,1,1,0,3,3.33333333333333,2,3.33333333333333,2,4
4.7927293547,"AF",0,1,0,1,0,4,4.66666666666667,2,5,5,4.66666666666667
4.7927293547,"AF",0,1,0,1,0,2,2,1,4,5,2.33333333333333
4.7927293547,"AF",0,0,1,1,0,4,5,2,5,5,5
4.7927293547,"AF",0,0,0,1,1,1,1.33333333333333,4,2.33333333333333,1,1.33333333333333
4.7927293547,"AF",0,0,1,1,0,3,3,2,4,3.33333333333333,4
4.7927293547,"AF",0,1,1,1,0,4,4.33333333333333,1,5,4.33333333333333,4.33333333333333
4.7927293547,"AF",0,0,0,1,0,3,3.33333333333333,1,3.66666666666667,2,3
4.7927293547,"AF",0,0,0,1,0,2,1.66666666666667,1,1.33333333333333,1,1.33333333333333
4.7927293547,"AF",0,0,1,1,0,4,3.33333333333333,2,3.66666666666667,NA,3.33333333333333
4.7927293547,"AF",0,0,0,1,0,4,4,3,4,4,4
4.7927293547,"AF",0,0,0,1,1,3,3.66666666666667,1,5,5,4.33333333333333
4.7927293547,"AF",0,0,0,1,0,4,4,1,4,5,4.33333333333333
4.7927293547,"AF",0,0,0,1,0,4,4.33333333333333,NA,4.33333333333333,3.66666666666667,4.66666666666667
4.7927293547,"AF",0,0,1,1,1,4,4.33333333333333,NA,4.33333333333333,4,4
4.7927293547,"AF",0,0,0,1,0,5,4,1,4.66666666666667,5,4.66666666666667
4.7927293547,"AF",0,1,1,1,1,4,3.33333333333333,2,3.66666666666667,4,3.33333333333333
4.7927293547,"AF",0,1,0,1,0,2,2.33333333333333,1,3.66666666666667,5,3
4.7927293547,"AF",0,1,0,1,1,5,3.66666666666667,1,4,3.66666666666667,4
4.7927293547,"AF",0,1,0,1,0,5,5,2,5,4,5
4.7927293547,"AF",0,1,0,1,0,5,4.66666666666667,1,5,3.33333333333333,3.66666666666667
4.7927293547,"AF",0,0,0,1,1,1,3,4,4,3.66666666666667,3.33333333333333
4.7927293547,"AF",0,0,0,1,1,2,4.33333333333333,2,4.33333333333333,4,4.33333333333333
